"Prev.Length","Match.Score","Prev.Type","Tile.Size","Browse.Time"
55,60,"TT",0.2,13.6870838705689
55,70,"TT",0.2,12.8988683864915
55,80,"TT",0.2,11.6176442663839
55,90,"TT",0.2,13.1631074522815
80,60,"TT",0.2,11.0873041924172
80,70,"TT",0.2,11.2768922205348
80,80,"TT",0.2,12.5644236348245
80,90,"TT",0.2,15.100195374458
55,60,"TT",0.2,16.35968795156
55,70,"TT",0.2,13.5518251462279
55,80,"TT",0.2,11.0626635940055
55,90,"TT",0.2,14.0886737618763
80,60,"TT",0.2,12.4181598526574
80,70,"TT",0.2,9.89448876841658
80,80,"TT",0.2,12.1202289136069
80,90,"TT",0.2,12.8656239737752
55,60,"TT",0.2,14.859224463477
55,70,"TT",0.2,14.3911792648786
55,80,"TT",0.2,11.8212297365954
55,90,"TT",0.2,11.7878947875812
80,60,"TT",0.2,13.2732552206602
80,70,"TT",0.2,11.1770578690747
80,80,"TT",0.2,12.6968285380731
80,90,"TT",0.2,10.833813276445
55,60,"TT",0.2,15.5034580521511
55,70,"TT",0.2,13.0535536326823
55,80,"TT",0.2,12.9674228652439
55,90,"TT",0.2,12.1851339306111
80,60,"TT",0.2,12.7706724246596
80,70,"TT",0.2,10.6148480406142
80,80,"TT",0.2,10.7712366950524
80,90,"TT",0.2,14.222244189415
55,60,"TT",0.2,12.9427299555526
55,70,"TT",0.2,10.7018814037331
55,80,"TT",0.2,12.2558451730221
55,90,"TT",0.2,13.9625520870317
80,60,"TT",0.2,13.6606555836631
80,70,"TT",0.2,10.9914339779123
80,80,"TT",0.2,11.4216832405279
80,90,"TT",0.2,13.0425383422839
55,60,"TT",0.2,15.5160263830077
55,70,"TT",0.2,11.8194346734631
55,80,"TT",0.2,11.6479503475847
55,90,"TT",0.2,13.6751036426439
80,60,"TT",0.2,11.8907326312927
80,70,"TT",0.2,12.1977964709896
80,80,"TT",0.2,11.8115679434242
80,90,"TT",0.2,13.261274556755
55,60,"TT",0.2,15.4364970763002
55,70,"TT",0.2,12.9096641870493
55,80,"TT",0.2,12.559082894773
55,90,"TT",0.2,12.3308503823473
80,60,"TT",0.2,11.5242230225577
80,70,"TT",0.2,9.15049344128366
80,80,"TT",0.2,10.1478368107312
80,90,"TT",0.2,13.6151442224519
55,60,"TT",0.2,15.0747935117842
55,70,"TT",0.2,11.6465676965828
55,80,"TT",0.2,11.7145224678998
55,90,"TT",0.2,12.7138033321944
80,60,"TT",0.2,12.6190287846926
80,70,"TT",0.2,11.7489396412383
80,80,"TT",0.2,12.514758216403
80,90,"TT",0.2,13.9595944953941
55,60,"TT",0.2,16.7691792646314
55,70,"TT",0.2,13.2810530894368
55,80,"TT",0.2,12.4624251510272
55,90,"TT",0.2,13.2826588152753
80,60,"TT",0.2,11.7206348803748
80,70,"TT",0.2,9.75320240002682
80,80,"TT",0.2,12.7168446086455
80,90,"TT",0.2,13.4187864439414
55,60,"TT",0.2,13.7330546490322
55,70,"TT",0.2,12.9705860676317
55,80,"TT",0.2,11.1603968288736
55,90,"TT",0.2,14.4865921305575
80,60,"TT",0.2,11.9976817810939
80,70,"TT",0.2,9.86014470218737
80,80,"TT",0.2,9.55193983669211
80,90,"TT",0.2,13.9723767533006
55,60,"TT",0.2,16.034700091793
55,70,"TT",0.2,13.1374122158715
55,80,"TT",0.2,10.0220748626791
55,90,"TT",0.2,13.251294175144
80,60,"TT",0.2,12.6238595806065
80,70,"TT",0.2,9.9108867722675
80,80,"TT",0.2,10.0186893742081
80,90,"TT",0.2,13.2871820330122
55,60,"TT",0.2,14.8939832524952
55,70,"TT",0.2,14.7886490576978
55,80,"TT",0.2,10.7873876384101
55,90,"TT",0.2,13.2552261519751
80,60,"TT",0.2,12.5910117459934
80,70,"TT",0.2,11.4850866505004
80,80,"TT",0.2,11.9190614864471
80,90,"TT",0.2,13.0880360307408
55,60,"TT",0.2,15.6182692847542
55,70,"TT",0.2,13.4317835711171
55,80,"TT",0.2,11.8459696445752
55,90,"TT",0.2,15.3369040580613
80,60,"TT",0.2,11.7412202204259
80,70,"TT",0.2,12.215133922625
80,80,"TT",0.2,12.4839169345882
80,90,"TT",0.2,12.3304965063659
55,60,"TT",0.2,15.5929088378968
55,70,"TT",0.2,13.8226801284474
55,80,"TT",0.2,12.7047283264763
55,90,"TT",0.2,13.1131119818067
80,60,"TT",0.2,14.1714268729617
80,70,"TT",0.2,10.716118693069
80,80,"TT",0.2,10.0372786395316
80,90,"TT",0.2,12.880481374497
55,60,"TT",0.2,16.3740283003197
55,70,"TT",0.2,13.7823558950057
55,80,"TT",0.2,10.5033218273247
55,90,"TT",0.2,13.7478644376506
80,60,"TT",0.2,13.5694713526983
80,70,"TT",0.2,12.0090726666943
80,80,"TT",0.2,12.2406249167136
80,90,"TT",0.2,12.0875342553478
55,60,"TT",0.2,14.14919997231
55,70,"TT",0.2,14.7515319152042
55,80,"TT",0.2,13.3081553082958
55,90,"TT",0.2,11.2961583772191
80,60,"TT",0.2,12.4345375203126
80,70,"TT",0.2,9.95706800082067
80,80,"TT",0.2,9.10798206008158
80,90,"TT",0.2,14.0285137983622
55,60,"TT",0.2,16.0706607470787
55,70,"TT",0.2,13.3096428921155
55,80,"TT",0.2,11.1680754451591
55,90,"TT",0.2,11.4437874274021
80,60,"TT",0.2,13.6983237220066
80,70,"TT",0.2,10.3138669690123
80,80,"TT",0.2,10.9803577296884
80,90,"TT",0.2,13.6548329074099
55,60,"TT",0.2,16.0041702972845
55,70,"TT",0.2,11.4701972146923
55,80,"TT",0.2,10.0616701612545
55,90,"TT",0.2,13.9218620454829
80,60,"TT",0.2,14.4082530211131
80,70,"TT",0.2,9.70531848758074
80,80,"TT",0.2,11.9964986590802
80,90,"TT",0.2,13.461665505441
55,60,"TT",0.2,14.9430565150769
55,70,"TT",0.2,15.0039728148867
55,80,"TT",0.2,9.00832633199269
55,90,"TT",0.2,12.9020736742096
80,60,"TT",0.2,13.1137596456993
80,70,"TT",0.2,8.77409378283378
80,80,"TT",0.2,12.003841391492
80,90,"TT",0.2,12.7639589056801
55,60,"TT",0.2,17.5353033705112
55,70,"TT",0.2,12.5766975338262
55,80,"TT",0.2,11.9881068507136
55,90,"TT",0.2,12.1456481256187
80,60,"TT",0.2,13.9661521471
80,70,"TT",0.2,10.504878921123
80,80,"TT",0.2,10.5965891027263
80,90,"TT",0.2,11.9824052919144
55,60,"TT",0.2,16.9011640044816
55,70,"TT",0.2,12.5509926946259
55,80,"TT",0.2,11.9288679150592
55,90,"TT",0.2,12.6579997228372
80,60,"TT",0.2,11.7981837932343
80,70,"TT",0.2,10.1431931065829
80,80,"TT",0.2,9.92459263000591
80,90,"TT",0.2,13.3276347445378
55,60,"TT",0.2,15.7137108794862
55,70,"TT",0.2,12.3064427079851
55,80,"TT",0.2,12.1620900991812
55,90,"TT",0.2,12.5499172667517
80,60,"TT",0.2,13.5954159495397
80,70,"TT",0.2,10.715259286382
80,80,"TT",0.2,11.5384620620623
80,90,"TT",0.2,12.5528389389082
55,60,"TT",0.2,15.3609541311963
55,70,"TT",0.2,14.6187965473594
55,80,"TT",0.2,11.9388759982385
55,90,"TT",0.2,14.1783723721666
80,60,"TT",0.2,13.3288489653296
80,70,"TT",0.2,10.1963716559801
80,80,"TT",0.2,11.4708742858217
80,90,"TT",0.2,13.5372725674234
55,60,"TT",0.2,15.0344139688182
55,70,"TT",0.2,14.5861655900142
55,80,"TT",0.2,11.1226038428809
55,90,"TT",0.2,12.9419217819079
80,60,"TT",0.2,12.9606942181461
80,70,"TT",0.2,9.8127979523792
80,80,"TT",0.2,11.4052881004993
80,90,"TT",0.2,12.5582131839406
55,60,"TT",0.2,14.7926396278057
55,70,"TT",0.2,15.3681185875463
55,80,"TT",0.2,12.4362777439374
55,90,"TT",0.2,14.1935754988675
80,60,"TT",0.2,13.7702022849199
